filename,width,height,class,xmin,ymin,xmax,ymax
b--48-_jpg.rf.9zgsjySGcll7t5ilnKRI.jpg,563,537,Microplastic,164,0,192,8
b--48-_jpg.rf.9zgsjySGcll7t5ilnKRI.jpg,563,537,Microplastic,453,100,478,120
b--48-_jpg.rf.9zgsjySGcll7t5ilnKRI.jpg,563,537,Microplastic,232,141,269,161
b--48-_jpg.rf.9zgsjySGcll7t5ilnKRI.jpg,563,537,Microplastic,301,158,315,177
b--48-_jpg.rf.9zgsjySGcll7t5ilnKRI.jpg,563,537,Microplastic,467,216,511,298
b--48-_jpg.rf.9zgsjySGcll7t5ilnKRI.jpg,563,537,Microplastic,302,281,317,312
b--48-_jpg.rf.9zgsjySGcll7t5ilnKRI.jpg,563,537,Microplastic,70,389,122,467
b--48-_jpg.rf.9zgsjySGcll7t5ilnKRI.jpg,563,537,Microplastic,243,476,255,501
b--48-_jpg.rf.9zgsjySGcll7t5ilnKRI.jpg,563,537,Microplastic,197,475,222,505
b--48-_jpg.rf.9zgsjySGcll7t5ilnKRI.jpg,563,537,Microplastic,107,503,129,527
b--194-_jpg.rf.3gd9OjstEiITCQnd5ZwF.jpg,563,537,Microplastic,355,64,390,98
b--194-_jpg.rf.3gd9OjstEiITCQnd5ZwF.jpg,563,537,Microplastic,270,150,326,194
b--194-_jpg.rf.3gd9OjstEiITCQnd5ZwF.jpg,563,537,Microplastic,354,205,369,228
b--194-_jpg.rf.3gd9OjstEiITCQnd5ZwF.jpg,563,537,Microplastic,29,285,59,321
b--194-_jpg.rf.3gd9OjstEiITCQnd5ZwF.jpg,563,537,Microplastic,212,319,251,366
b--194-_jpg.rf.3gd9OjstEiITCQnd5ZwF.jpg,563,537,Microplastic,20,385,42,421
b--194-_jpg.rf.3gd9OjstEiITCQnd5ZwF.jpg,563,537,Microplastic,195,441,219,479
b--194-_jpg.rf.3gd9OjstEiITCQnd5ZwF.jpg,563,537,Microplastic,0,523,13,536
111_jpg.rf.vazMApMbxkKVbRrAdls8.jpg,563,537,Microplastic,174,0,193,7
111_jpg.rf.vazMApMbxkKVbRrAdls8.jpg,563,537,Microplastic,282,0,306,25
111_jpg.rf.vazMApMbxkKVbRrAdls8.jpg,563,537,Microplastic,279,64,305,83
111_jpg.rf.vazMApMbxkKVbRrAdls8.jpg,563,537,Microplastic,430,82,462,104
111_jpg.rf.vazMApMbxkKVbRrAdls8.jpg,563,537,Microplastic,460,102,487,123
111_jpg.rf.vazMApMbxkKVbRrAdls8.jpg,563,537,Microplastic,422,107,448,129
111_jpg.rf.vazMApMbxkKVbRrAdls8.jpg,563,537,Microplastic,0,165,9,189
111_jpg.rf.vazMApMbxkKVbRrAdls8.jpg,563,537,Microplastic,482,194,529,228
111_jpg.rf.vazMApMbxkKVbRrAdls8.jpg,563,537,Microplastic,260,234,282,263
111_jpg.rf.vazMApMbxkKVbRrAdls8.jpg,563,537,Microplastic,112,237,148,274
111_jpg.rf.vazMApMbxkKVbRrAdls8.jpg,563,537,Microplastic,100,302,130,332
111_jpg.rf.vazMApMbxkKVbRrAdls8.jpg,563,537,Microplastic,375,340,403,364
111_jpg.rf.vazMApMbxkKVbRrAdls8.jpg,563,537,Microplastic,457,352,477,396
111_jpg.rf.vazMApMbxkKVbRrAdls8.jpg,563,537,Microplastic,42,397,80,432
111_jpg.rf.vazMApMbxkKVbRrAdls8.jpg,563,537,Microplastic,262,490,296,521
Screenshot 2026-04-19 at 4-32-32 PM_png.rf.JcDbpbAW3GHSUS5gvzmz.png,1514,846,Microplastic,1011,91,1076,148
Screenshot 2026-04-19 at 4-32-32 PM_png.rf.JcDbpbAW3GHSUS5gvzmz.png,1514,846,Microplastic,108,59,172,122
Screenshot 2026-04-19 at 4-32-32 PM_png.rf.JcDbpbAW3GHSUS5gvzmz.png,1514,846,Microplastic,445,318,508,379
Screenshot 2026-04-19 at 4-32-32 PM_png.rf.JcDbpbAW3GHSUS5gvzmz.png,1514,846,Microplastic,993,640,1089,693
Screenshot 2026-04-19 at 4-32-32 PM_png.rf.JcDbpbAW3GHSUS5gvzmz.png,1514,846,Microplastic,1277,345,1326,393
Screenshot 2026-04-19 at 4-32-32 PM_png.rf.JcDbpbAW3GHSUS5gvzmz.png,1514,846,Microplastic,1086,379,1129,417
Screenshot 2026-04-19 at 4-32-32 PM_png.rf.JcDbpbAW3GHSUS5gvzmz.png,1514,846,Microplastic,435,433,549,523
Screenshot 2026-04-19 at 4-32-32 PM_png.rf.JcDbpbAW3GHSUS5gvzmz.png,1514,846,Microplastic,971,370,1018,411
a--46-_jpg.rf.pzRWSIaYPkK0vOCrhx83.jpg,563,537,Microplastic,322,246,394,311
a--46-_jpg.rf.pzRWSIaYPkK0vOCrhx83.jpg,563,537,Microplastic,231,374,314,448
a--46-_jpg.rf.pzRWSIaYPkK0vOCrhx83.jpg,563,537,Microplastic,139,330,217,414
a--46-_jpg.rf.pzRWSIaYPkK0vOCrhx83.jpg,563,537,Microplastic,2,397,85,468
